stat_date,half_year_flag,total_count,sh_count,sz_count
2016-01-04,2016-H1,131,83,48
2016-07-01,2016-H2,134,85,49
2017-01-03,2017-H1,149,99,50
2017-07-03,2017-H2,156,104,52
2018-01-02,2018-H1,168,114,54
2018-07-02,2018-H2,182,126,56
2019-01-02,2019-H1,191,134,57
2019-07-01,2019-H2,220,158,62
2020-01-02,2020-H1,267,193,74
2020-07-01,2020-H2,338,235,103
2021-01-04,2021-H1,375,261,114
2021-07-01,2021-H2,497,332,165
2022-01-04,2022-H1,638,406,232
2022-07-01,2022-H2,697,439,258
2023-01-03,2023-H1,759,470,289
2023-07-03,2023-H2,804,493,311
2024-01-02,2024-H1,894,539,355
2024-07-01,2024-H2,970,571,399
2025-01-02,2025-H1,1036,607,429
2025-07-01,2025-H2,1202,704,498
2026-01-05,2026-H1,1388,800,588
